Plant Name,Rooting Depth
Kohlrabi,S
Leeks,S
Lettuce,S
Okra,D
Onions,S
Parsnips,D
Peas,M
"Peppers, hot",M
"Peppers, bell",M
Potatoes,S
Pumpkin,D
Radishes,S
Spinach,S
Rutabaga,M
Spinach,D
"Squash, summer",M
"Squash, winter",D
Sweet potato,D
Tomatoes,D
Turnips,M
Zucchini,D
